Name with Owner,Created Timestamp,Size,Stars Count,Language,Forks Count,Open Issues Count,Watchers Count,Contributors Count,Last Synced Timestamp
AndreLouisCaron/httpxx,2011-07-18 21:04:55+00:00,246,33,C++,20,4,7,2,2017-11-24 20:02:18+00:00
sacarlson/MultiCoin,2011-06-28 16:06:29+00:00,3109,19,C++,14,1,11,34,2016-09-06 21:46:39+00:00
kylemcdonald/ofxEdsdk,2011-04-03 19:55:35+00:00,23832,83,C++,47,19,8,8,2017-09-21 22:36:33+00:00
ryanmelt/qtbindings,2010-07-30 20:49:49+00:00,3454,294,C++,54,3,33,17,2018-04-17 18:48:24+00:00
betajaen/nxogre,2009-08-11 11:14:54+00:00,5411,50,C++,29,0,6,2,2017-11-24 19:00:48+00:00
qgis/QGIS,2011-05-02 08:06:26+00:00,1671087,3237,C++,1655,3342,320,163,2017-11-24 18:50:56+00:00
openigtlink/OpenIGTLink,2011-07-28 21:55:27+00:00,3325,33,C++,87,37,12,10,2017-11-24 19:31:54+00:00
apache/activemq-cpp,2009-09-07 08:00:40+00:00,31893,53,C++,39,8,20,2,2017-11-24 19:14:34+00:00
blackrim/phlawd,2010-07-13 16:53:53+00:00,28519,12,C++,6,1,3,4,2017-04-04 14:36:32+00:00
rectalogic/webvfx,2011-02-23 21:21:33+00:00,1252,23,C++,13,1,9,2,2017-05-09 13:53:29+00:00
tapio/motiontracker,2011-01-19 14:39:26+00:00,341,11,C++,6,0,3,2,2017-11-25 00:02:50+00:00
hardaker/CuteCW,2010-12-31 06:28:23+00:00,679,19,C++,5,10,5,2,2017-11-24 20:06:27+00:00
wez/atomicparsley,2011-03-12 23:13:08+00:00,3551,60,C++,18,1,8,5,2017-11-24 19:57:04+00:00
samshull/node-proxy,2010-07-20 18:38:26+00:00,358,169,C++,28,6,9,9,2016-11-24 14:08:39+00:00
vl4dimir/ProtocolBuffers-ObjC,2011-07-19 14:18:03+00:00,2473,8,C++,5,1,2,2,2017-04-04 14:45:57+00:00
mhroth/ZenGarden,2009-10-07 17:45:26+00:00,9532,92,C++,13,2,9,3,2017-09-03 03:36:47+00:00
shantanugoel/Kinect-PS3,2011-03-20 15:31:47+00:00,217,23,C++,8,0,4,1,2017-11-24 20:13:13+00:00
jsummers/tweakpng,2011-06-11 14:28:11+00:00,184,148,C++,9,2,16,1,2017-11-24 18:36:42+00:00
jjacobsson/calltree,2009-04-24 13:20:00+00:00,1561,49,C++,6,0,11,2,2017-04-04 14:35:26+00:00
emcrisostomo/fswatch,2009-06-25 21:31:52+00:00,10672,2160,C++,163,32,83,17,2018-02-27 16:51:44+00:00
hpcc-systems/GraphControl,2011-08-11 08:53:46+00:00,701,9,C++,7,19,6,5,2017-11-24 21:35:35+00:00
digitalbazaar/monarch,2009-12-14 18:02:49+00:00,13273,37,C++,6,1,16,4,2017-11-24 19:13:09+00:00
