Name with Owner,Created Timestamp,Size,Stars Count,Language,Forks Count,Open Issues Count,Watchers Count,Contributors Count,License,Last Synced Timestamp,developers,commits
ilmila/J2EEScan,2015-04-01 06:43:44+00:00,217,225,Java,108,6,21,3,GPL-2.0,2017-11-24 18:44:55+00:00,16,192
burhanxz/Distributed-KV,2018-07-12 11:32:30+00:00,763,68,Java,16,0,1,1,Apache-2.0,2019-01-14 12:15:17+00:00,2,192
MahmoudMabrok/QuranyApp,2019-03-22 16:50:40+00:00,27149,18,Java,5,13,3,2,Apache-2.0,2019-10-26 02:14:14+00:00,7,192
MPjct/JMPjct,2012-07-25 21:18:41+00:00,16233,72,Java,47,4,22,4,MIT,2017-11-24 19:01:58+00:00,5,190
jbellis/jamm,2011-02-20 05:43:14+00:00,104,420,Java,78,5,41,7,Apache-2.0,2017-09-10 18:22:46+00:00,12,189
sonyxperiadev/lumber-mill,2016-05-31 08:58:33+00:00,429,12,Java,5,2,6,4,Apache-2.0,2018-07-10 13:17:29+00:00,5,188
fabian7593/MagicalCamera,2016-05-20 17:24:39+00:00,46560,311,Java,85,5,20,3,Apache-2.0,2016-11-24 17:18:21+00:00,7,187
onyxbits/Raccoon,2014-06-04 11:16:30+00:00,1743,259,Java,60,20,26,4,Apache-2.0,2017-11-24 18:32:23+00:00,6,185
cleverage/play2-elasticsearch,2012-05-30 11:49:52+00:00,2190,164,Java,67,24,29,12,MIT,2016-11-24 14:28:37+00:00,16,183
commercetools/commercetools-sunrise-java-starter,2016-08-03 10:35:34+00:00,2454,5,Java,16,7,41,0,Apache-2.0,2016-08-03 10:35:39+00:00,7,183
pulse00/Composer-Java-Bindings,2012-09-05 23:17:10+00:00,2059,2,Java,5,9,6,4,EPL-1.0,2016-05-27 14:26:30+00:00,7,181
jTendermint/jabci,2016-06-27 08:27:41+00:00,501,21,Java,11,2,7,1,MIT,2016-06-27 08:28:07+00:00,13,178
